age,income,expenditure,homeowner,selfemp,dependents
25.08333,3.52,61.16667,no,no,0
23.25,1.8769,553.1067,no,no,0
21.25,2.25,59.08916,no,no,0
39.83333,1.7123,132.4717,no,no,0
25.75,4,89.82667,no,no,0
25.25,2.16,36.33333,no,no,0
40.41667,3.3,108.9767,no,no,1
37.66667,7,64.56,yes,no,3
25.25,2.1,192.64,no,no,0
41.66667,3,131.7658,yes,no,0
24.25,3.5,203.8917,no,no,0
19,2.8,390.1667,yes,no,0
33.91667,2.1888,270.3683,no,no,0
28.91667,2.69,352.1733,no,no,1
40.83333,3.73,179.7708,yes,no,1
32.83333,2,156.0892,yes,no,2
44.33333,4.3,57.91583,yes,no,3
38.16667,5.5,205.5133,yes,no,4
37.33333,5.92,149.2992,yes,no,2
44.25,7.6,310.7358,yes,no,6
18.16667,2.82,97.94,no,no,0
24.58333,2.2,127.1183,yes,no,0
47.5,2.6611,220.7925,yes,no,0
33.08333,4,854.785,yes,no,2
31.58333,6.5,602.9208,yes,no,2
38.41667,5.6,436.2592,yes,no,4
35.33333,4.5,67.0975,yes,no,1
29.25,2.51,94.26833,no,no,1
46,10.032,84.39083,yes,no,2
19.91667,3.5,175.4442,no,no,1
22.83333,3.5,132.1292,no,yes,0
24.33333,3.9,305.8375,no,no,2
18.5,2.5,440.6908,no,no,0
49.16667,5.2,634.8625,yes,no,1
49.16667,9.9999,92.44167,yes,no,4
57.58333,4.1,286.57,yes,no,3
24.58333,2.2,121.0308,no,no,0
26.41667,4.38,136.1242,yes,no,5
29.58333,6.6,510.09,yes,no,0
30.66667,2.74,42.31083,yes,no,3
58.91667,2.7,6.416667,yes,no,0
38.5,3.2618,7.083333,no,no,4
45.66667,5.8,159.73,yes,no,0
25.83333,2.5,124.5033,no,no,0
30,3.5,1028.961,yes,no,0
42.08333,4.7,71.95917,yes,yes,3
49,3.3,111.6175,yes,no,0
44,5.8,386.0525,yes,no,4
25,2.4,62.50833,no,no,0
43.83333,3.25,159.36,yes,no,2
24.5,3.06,434.8775,no,no,0
39.5,3,40.3275,yes,no,3
25.66667,2.2,38.70833,yes,no,1
43.66667,3,57.30667,yes,no,1
46.33333,4.2,30.44583,yes,no,1
34.16667,2.37,106.7208,yes,no,0
38.83333,2.52,181.4142,yes,no,0
37.08333,5.49,732.9792,yes,no,1
39.91667,2.25,95.52834,yes,no,0
45.66667,3.224,896.9384,yes,no,5
52.16667,5,85.24083,yes,no,1
30.08333,3.75,298.4783,yes,no,1
32.66667,3.7,11.7125,yes,no,2
38.83333,3.3,65.81834,yes,no,3
37.08333,7,898.4258,yes,no,3
33.5,3.3748,494.4875,no,no,1
42.66667,2.59,67.53584,yes,yes,3
29.41667,2.1,126.1033,yes,no,3
52.66667,3,98.6825,yes,no,1
29.83333,3,264.9658,yes,no,1
45.75,4.4,17.08333,yes,no,3
30.16667,3.1,469.2475,yes,no,2
30.83333,2.98,108.2958,no,no,3
22.25,2.8,590.9484,yes,no,1
22,3.2905,48.08333,no,no,2
28.33333,3.9,141.6883,yes,no,1
31.33333,3.2,109.6092,no,no,2
32.66667,3.65,1637.527,yes,no,1
30.58333,3.5,114.5575,no,no,5
40.66667,4.77,11.6725,yes,no,0
39.08333,4.2,22.3575,yes,no,0
24.75,2,91.4125,yes,yes,1
26.5,2.6,239.4867,yes,no,0
61.16667,5,190.4308,yes,no,2
44.08333,4,66.7325,yes,yes,2
61.08333,5.3726,221.8892,yes,yes,0
40.66667,2.7246,446.415,no,no,2
20.83333,1.8,830.2767,no,no,0
45.91667,4,113.6308,yes,no,2
30.66667,2.5,127.3725,yes,no,1
23.91667,2,166.9017,no,no,0
34.83333,3,315.9425,no,no,6
38.58333,2.6,171.8608,yes,no,0
35.83333,2.4,46.60583,no,yes,1
36,4,306.4683,yes,no,0
42.66667,6.2,31,yes,no,2
22.58333,2.2,140.2992,no,no,0
44.91667,5.8,175.6442,yes,no,2
30.58333,1.8,29.51583,no,no,0
27.25,3.264,67.20167,no,no,0
24,2.1,146.27,yes,no,0
23.41667,2.7456,4.583333,no,no,0
55.33333,3.7,160.4517,yes,no,1
35.16667,4.815,171.5125,yes,no,2
46.33333,3.05,8.125,yes,no,0
39.41667,2.4,384.1725,no,no,1
34.91667,5,1774.356,yes,no,3
19.08333,2.6,285.255,no,no,0
27.58333,4,49.25,yes,yes,3
46.25,6.8,40.19917,yes,yes,0
47.16667,1.94,26.5,no,no,0
25.41667,2.45,183.5608,no,no,0
51.33333,4.53,45.35417,yes,no,4
41,6.825,664.6025,no,no,2
36.33333,3.85,37.015,no,no,1
32.41667,2.75,862.9642,yes,no,2
21.91667,2.3,143.4292,yes,no,2
29.25,1.8,124.6325,no,no,0
21.08333,2.2,577.9833,no,no,0
34.66667,4.8,266.3433,yes,no,3
27.91667,2.04,30.0525,yes,no,2
36.5,1.68,193.3225,yes,no,0
24,2.7811,121.6333,no,no,0
63.75,6,8.333333,no,no,0
25.83333,3.5,158.6017,no,no,0
35,3.9,178.4558,yes,no,2
20.66667,2,167.04,no,no,0
41.83333,7.1195,569.5458,yes,no,3
32.08333,1.6,351.3633,no,no,0
34.08333,4.85,198.0233,yes,no,2
37.16667,2.825,153.7517,yes,no,0
26.75,1.8,9.166667,yes,no,0
19.16667,1.9,448.0233,no,no,0
35.91667,2.62,470.2967,yes,no,1
25.16667,3.75,400.0708,yes,no,0
45.75,4.5,149.0967,yes,no,2
42,3.836,332.2392,yes,no,3
31.08333,5.1,721.06,yes,no,3
67.16666,4.4692,7.083333,no,no,1
33.08333,3.5,166.2383,no,no,0
45.75,5,5.520833,yes,no,0
28.16667,2.5,5.833333,no,no,1
30.41667,1.5,78.885,no,no,1
47,3.8425,20.25,yes,no,2
42.75,3.6,113.9475,yes,no,2
44.5,2.95,493.7333,no,no,0
37.66667,2.385,332.7042,yes,yes,0
28,2.16,42.51667,no,no,0
31.75,2.007,151.0325,no,no,1
22.91667,1.56,128.0725,yes,no,0
24.16667,3.7,219.2717,yes,no,1
37.16667,3.84,37.71333,no,no,3
24.33333,2.4,362.6383,no,no,0
41.08333,2,8.333333,yes,no,0
28,3.1,580.9725,yes,no,0
28.75,2.5,25.29167,yes,no,0
39.08333,5.1,210.2283,yes,no,3
32.25,2,121.3367,yes,no,1
33.25,3.6,77.80666,no,no,3
42.41667,4.2,87.30666,yes,no,4
33.83333,2.9,471.345,yes,no,2
48.16667,1.7,16.63417,yes,no,0
40.08333,2.2224,737.0808,yes,no,2
32.41667,6.1064,544.5208,yes,no,1
27.83333,2.652,160.875,yes,no,3
43.91667,2.8,108.6233,yes,no,0
24.25,1.6,500.6158,yes,no,0
29.08333,5,674.9092,yes,no,4
27.75,2.04,364.8192,no,no,0
47.58333,5.04,216.165,no,no,3
42.75,3.2,287.7583,yes,no,0
44.58333,3.1,323.0633,yes,no,0
35.83333,1.8829,214.0975,no,no,1
21.83333,2.4,163.8392,no,no,0
25.91667,3,154.74,yes,no,0
35.83333,2.5,164.81,yes,no,1
31,5.112,126.3867,yes,no,2
51.66667,2.5,39.91167,yes,no,0
34,5.4,321.2108,yes,no,3
33.33333,2.1,228.9658,no,no,0
32.75,6,449.0392,no,no,0
26.08333,1.56,79.60917,no,no,2
31.91667,4.07,233.0417,no,no,0
20.58333,2.7,266.1908,no,no,0
23.41667,2.04,204.0875,yes,no,0
60.25,2.8,101.8542,yes,no,3
24.83333,6.2,881.2642,no,no,0
30.16667,2.19,889.585,no,no,0
29.33333,3.2,142.8775,no,no,0
48.16667,2.3,434.125,yes,no,0
25.25,1.76,201.6583,no,no,0
53.25,3.96,7.083333,yes,no,1
54.08333,2.5,18.25417,yes,no,1
32,2.28,127.9833,yes,no,0
33.75,2.5,161.1617,yes,no,1
23.16667,2.6,1786.277,no,no,0
24.75,2.2,284.2558,yes,no,0
40.41667,2.448,426.4467,yes,no,1
49.66667,4.96,435.9908,yes,no,4
34.66667,5,58.08083,yes,no,4
34.91667,2.1,103.3283,no,no,2
47.33333,10.4,2001.547,yes,no,2
0.75,1.6,205.2542,no,no,0
24.83333,1.51,258.1667,yes,no,0
38.75,2.8463,15.83333,yes,no,1
24.91667,2.3,163.0392,no,no,0
25.33333,3,475.0183,no,no,0
23.25,2.2,429.905,yes,no,0
49.83333,0.21,47.24166,yes,no,2
37.08333,2.8,396.5,no,no,0
28.5,3,73.1725,no,no,0
45.58333,2.4,23.58333,yes,no,2
54.25,6.8,569.9183,no,no,0
24.58333,1.5,24.07,no,no,0
31.91667,2.7,258.8783,no,no,0
43.75,3.5,387.2183,yes,no,3
22.83333,2.5,839.3008,no,no,0
28.08333,5.47,133.0683,yes,no,3
22.08333,1.65,68.54583,no,no,0
34.16667,9.2,664.1208,yes,no,5
54.66667,7.29,647.2067,yes,no,2
32.91667,2.72,402.7225,no,no,1
40,3.624,47.08167,yes,no,3
26,5.3,242.145,yes,no,1
55.25,4.9,273.49,yes,no,2
32.25,3.6208,150.2917,yes,no,3
38.91667,2.136,106.2008,no,no,1
28.41667,2.5,402.7875,yes,no,0
55.58333,4.3,125.4817,yes,no,0
42,6.3,213,yes,no,4
21.16667,2.4,201.5825,no,no,0
33.08333,2.8,70.285,yes,no,1
37.75,5,188.7275,yes,no,4
28.41667,2.8,32.66667,no,no,0
31.08333,2.8,202.47,yes,no,3
30.5,2.65,69.4275,no,no,3
34.16667,2.616,84.73167,no,no,2
22.33333,1.8,80.055,no,no,0
30,2.5,43.43667,yes,no,3
25.16667,1.8,142.9508,no,no,0
40.66667,5.05,119.3017,yes,no,0
28.83333,3.6,130.0267,yes,yes,0
30.75,4.3,482.6575,yes,no,4
38.5,2.6,858.3475,no,no,0
27.08333,2.4,33.01333,no,no,0
23.25,1.8,46.05584,no,no,1
33.83333,1.8,169.8767,no,no,0
38.16667,5.1,90.06333,no,no,0
35.58333,3.5606,323.5875,no,no,0
30.41667,4.15,520.3417,no,no,1
23,1.8,167.2125,no,no,0
25.25,2.9,209.8442,no,no,0
28.66667,2.95,229.7975,no,no,0
41.08333,4.5,536.25,yes,no,2
22.33333,2.8,191.8358,no,no,0
26.75,5.77,362.7542,yes,no,1
43.08333,2.4317,163.18,no,no,2
37.33333,7,176.2717,yes,no,2
26.75,2.15,61.33333,no,no,0
42.16667,5.2,57.44083,yes,no,3
28.16667,4.7,948.3625,yes,no,0
26.08333,2.5,132.5883,yes,no,0
48.25,5,91.17667,no,no,3
27.83333,3.5,146.4275,yes,no,2
26.33333,2.45,111.8183,no,no,0
30.58333,3.2,396.2717,yes,no,2
27.83333,3.54,19.59,no,no,2
49.16667,3.1144,21.465,yes,no,1
48.66667,6,885.0858,yes,no,3
29.58333,2.4,29.95667,no,no,1
41.41667,3.2,26.87833,no,no,1
40.91667,6,394.5717,yes,no,0
22,1.75,906.3092,no,no,0
39.58333,2.5,400.4475,no,no,0
31.58333,2.55,303.6742,no,no,1
33.08333,3.26,143.0158,no,no,0
22.83333,3.6,146.4417,no,no,0
58.08333,4.4,97.18417,yes,yes,1
38.75,3.2,38.9975,yes,no,2
30.08333,2.7,27.41667,no,no,2
34.08333,3.5,179.7167,yes,no,0
39.08333,3.4224,82.65916,yes,no,0
38.41667,6.5,157.8442,yes,no,3
20.5,2,63.55167,no,no,0
35.58333,3.58,154.8592,yes,no,2
25.91667,2.5,44.02083,no,no,0
40.16667,2,424.6292,yes,no,1
30.58333,2.512,4.583333,no,yes,3
33.58333,4.566,7.333333,yes,no,0
40.58333,4.6,101.2983,yes,no,2
32.83333,3.7,26.99667,no,yes,0
48.25,3.7,344.1575,yes,no,2
